Aspect term,Aspect category,Review text
"kitchen food,  sushi",anecdotes/miscellaneous,"While their kitchen food is delicious, their Sushi is out of this world."
,"food,  ambience","The atmosphere is attractive, but a little uncomfortable."
nice dinner,food,"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing."
"hot,  cakes",food,Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.
,food,This place has the best pizza.
"free appetizers,  filet mignon,  nice non-sushi selection",service,"but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection)."
chicken milanese,"food,  anecdotes/miscellaneous",I recomend the chicken milanese.
,anecdotes/miscellaneous,Cool atmosphere but such a let down.
,anecdotes/miscellaneous,Didn't seem like any effort was made to the display and quality of the food.
,anecdotes/miscellaneous,You'll see a lot of people eating there after church.
,anecdotes/miscellaneous,"Believe me, they live up to the name."
,anecdotes/miscellaneous,"menu - uneventful, small."
"dirt-cheap prices,  area residents crowd","food,  anecdotes/miscellaneous","A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices."
,"ambience,  food,  anecdotes/miscellaneous",It is bland and nothing extrodinary.
good mix,food,A plus was the good mix of people in their twenties that provided for great eye-candy while I was there.
management,"food,  anecdotes/miscellaneous",The Management was less than accomodating.
,service,A nice find in the neighborhood.
"credit,  dent,  card,  big",food,But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.
,"food,  anecdotes/miscellaneous,  service","The service is great, my soup always arrives nice and hot."
"bit,  noisy",food,"While it was large and a bit noisy, the drinks were fantastic, and the food was superb."
"pizzas,  main courses",food,Pizzas were excellent in addition to appetizers and main courses.
peanut butter tart,food,"The best dessert, a chocolate and peanut butter tart, isn't particularly Hawaiian, but it's a small world when it comes to sweets."
've eaten,"food,  anecdotes/miscellaneous","I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far."
"cute,  's","food,  service",It's cute and simple and I loved it.
eggplant salad,food,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas."
"thing,  great","food,  anecdotes/miscellaneous,  service",Another great thing about Glechik-everything is very cheap!
pizza,"food,  service",Curioni's Pizza has been around since the 1920's.
,anecdotes/miscellaneous,Having moved I truly miss this place.
ghetto scenery,anecdotes/miscellaneous,If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!
"or bad service,  bad meal","food,  service",I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.
,"food,  anecdotes/miscellaneous,  service",My friends and I stop here for pizza before hitting the Kips Bay movie theater.
