(pasta#positive)(appetizers#positive),(food),"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
(portions#positive),(food),And really large portions.
,(anecdotes/miscellaneous),Go inside and you won't want to leave.
,(anecdotes/miscellaneous),Save yourself the time and trouble and skip this one!
(sweet lassi#positive)(garlic naan#neutral)(lamb chettinad#positive)(rasamalai#negative),(food),The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
(Service#positive),(service),Service was quick.
(bills#negative),(price),"Oh, don't even let me start with how expensive the bills were!"
(Service#positive),(service),Service is top notch.
(lambc hops#neutral),(food),The best thing I tasted were the lambc hops.
,(anecdotes/miscellaneous),Overall I would recommend it and go back again.
,(anecdotes/miscellaneous),I've been here a couple of times and have not been impressed.
(seafood#positive)(prices#positive),(price)(food),"Even though its good seafood, the prices are too high."
(food#positive)(prices#positive),(price)(food),"In addition, the food is very good and the prices are reasonable."
(food#positive),(food),The food is great and authentic.
,(anecdotes/miscellaneous),I was at Rao's last Wed.
(garlic shrimp#neutral),(food),"I recommend the garlic shrimp, okra (bindi), and anything with lamb."
(menu#positive),(food),"The menu was impressive with selections ranging from a burger, to steak, to escargot."
(breads#positive),(food),very good breads as well.
(price#positive)(wine list#positive)(food#positive),(price)(food),"Anyway, the food is good, the price is right and they have a decent wine list."
(food#negative)(portions#neutral),(food),The food was lousy -too sweet or too salty and the portions tiny.
(coconut rice#positive),(food),But the coconut rice was good.
(Tom Kha soup#negative),(food),And the Tom Kha soup was pathetic.
(food#negative),(food),The food now is inconsistent.
(crunchy tuna#neutral),(food),"Try the crunchy tuna, it is to die for."
(prices#positive),(price),Reasonable prices.
,(food),Everything at Sala Thai is tasty and well-portioned.
(service#positive)(price#positive)(food#positive),(service)(price)(food),Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
(food#negative),(food),"Unfortunately, the food was NOT something to get worked up about."
(food#positive),(price)(food),The food is great and reasonably priced.
,(anecdotes/miscellaneous),I got enough reasons to keep coming back!!!
(calzones#negative),(food),"Their calzones are horrific, bad, vomit-inducing, YUCK."
