(service#food#food),"Service was prompt, friendly and great."
(anecdotes/miscellaneous),"Try the crunchy tuna, it is to die for."
(food),"Our waitress was sweet and accomodating, not overbearing."
(service),Drawbacks: service is slow and they don't toast!
(food),The server was really cool and served us our food and drinks with a smile.
(anecdotes/miscellaneous),I definitely wouldn't go back.
(anecdotes/miscellaneous),Reasonable prices.
(anecdotes/miscellaneous),I would go back tho.
(food),"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
(food),The food is prepared quickly and efficiently.
(food#anecdotes/miscellaneous),The food is usually good but it certainly isn't a relaxing place to go.
(anecdotes/miscellaneous),I have tried literally every restaurant on curry row.
(service),I was at Rao's last Wed.
(food),The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
(anecdotes/miscellaneous),I went to this restaurant with a woman that I met recently.
(food),The bagels are fabulous.
(anecdotes/miscellaneous),Definitely a neighborhood favorite.
(anecdotes/miscellaneous#anecdotes/miscellaneous),I am bringing my whole family back next time.
(food),"While the ambiance and atmosphere were great, the food and service could have been a lot better."
(food),"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil."
(food),"A large is $20, and toppings are about $3 each."
(food),All pretty good.
(anecdotes/miscellaneous),"I recommend the garlic shrimp, okra (bindi), and anything with lamb."
(food),And really large portions.
(service),"Oh, don't even let me start with how expensive the bills were!"
(food#service),The food is great and authentic.
(food),very good breads as well.
(anecdotes/miscellaneous#service#food),I'm told that it is open 24hrs which is good.
(anecdotes/miscellaneous),I have been coming to this neighborhood spot for years.
(anecdotes/miscellaneous),"We've only eaten in the restaurant once, but we have ordered many times for dinner."
(anecdotes/miscellaneous),Excellent experience.
(food),And the Tom Kha soup was pathetic.
(service),Service was quick.
(anecdotes/miscellaneous),I went to Ruby Foo's after work with a group of 6.
(food#food),"Even though its good seafood, the prices are too high."
(service#service#anecdotes/miscellaneous),Now it's so crowded and loud you can't even talk to the person next to you.
(food#food#service#food),Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
(service),What more could you want?
(anecdotes/miscellaneous),"If only they delivered, they'd make a mint!"
(food#service),I love the fact that the pizza tastes so good and is so cheap.
(anecdotes/miscellaneous),A hearty two thumbs up!
(food#service),"In addition, the food is very good and the prices are reasonable."
(anecdotes/miscellaneous),"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry."
(service#food),"Have eaten at Ginger House several times, and it's always good."
(food),The prices were fantastic.
(anecdotes/miscellaneous),Great find!!!
(anecdotes/miscellaneous),Go inside and you won't want to leave.
(food),The food was great.
(food#anecdotes/miscellaneous),Consistently good Japanese Tapas.
(service),"Anyway, this is the last time I cross the williamsburg."
(food),Service is top notch.
(food),"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
(food),But the coconut rice was good.
(service#anecdotes/miscellaneous),My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.
(food#food),We were not dissappointed in the least bit by this little gem.
(food),The sushi was awful!
(anecdotes/miscellaneous),We will be back.
(anecdotes/miscellaneous),Was surprisingly disappointed.
(anecdotes/miscellaneous#food),With the theater 2 blocks away we had a delicious meal in a beautiful room.
(anecdotes/miscellaneous),A guaranteeed delight!
(anecdotes/miscellaneous),OU MUST TRY THIS RESTAURANT.
(food#anecdotes/miscellaneous),Everything at Sala Thai is tasty and well-portioned.
(anecdotes/miscellaneous),"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY."
(anecdotes/miscellaneous#food#food),"Good spreads, great beverage selections and bagels really tasty."
(anecdotes/miscellaneous#anecdotes/miscellaneous#anecdotes/miscellaneous),"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
(service),A pleasant surprise.
(food),"A few tips: skip the turnip cake, roast pork buns and egg custards."
(anecdotes/miscellaneous),"Unfortunately, the food was NOT something to get worked up about."
(anecdotes/miscellaneous#food#anecdotes/miscellaneous),"Their calzones are horrific, bad, vomit-inducing, YUCK."
(food#anecdotes/miscellaneous),This is my favorite Italian restaurant in all of New York City.
(anecdotes/miscellaneous),The food options rule.
(anecdotes/miscellaneous),I've been to Joya twice and I will never go again.
(food#food#food),"Anyway, the food is good, the price is right and they have a decent wine list."
(food),The food now is inconsistent.
(anecdotes/miscellaneous),I never had anything I didn't like here.
(food),"The menu was impressive with selections ranging from a burger, to steak, to escargot."
