(staff#negative),(service#negative),But the staff was so horrible to us.
(food#positive),(food#positive)(anecdotes/miscellaneous#negative),"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
(food#positive)(kitchen#positive)(menu#neutral),(food#positive),"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
,(service#positive),Where Gabriela personaly greets you and recommends you what to eat.
,(anecdotes/miscellaneous#positive),"For those that go once and don't enjoy it, all I can say is that they just don't get it."
(food#positive)(perks#positive),(food#positive)(service#positive),"Not only was the food outstanding, but the little 'perks' were great."
,(food#negative)(price#negative),It is very overpriced and not very tasty.
(orrechiete with sausage and chicken#positive)(waiters#positive)(meats#neutral)(dish#neutral),(food#positive)(service#positive),Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
(Bagels#positive),(food#positive),"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
(food#positive),(food#positive),Nevertheless the food itself is pretty good.
(toast#negative)(mayonnaise#negative)(bacon#negative)(cheese#neutral)(ingredients#negative)(plate#neutral)(omelet#neutral),(food#negative),"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
(drinks#neutral)(check#neutral),(service#conflict),"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
(design#positive)(atmosphere#positive),(ambience#positive),The design and atmosphere is just as good.
(cuisine#positive),(food#positive),He has visited Thailand and is quite expert on the cuisine.
,(anecdotes/miscellaneous#positive),I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
(pizza#positive)(thin crusted pizza#neutral),(food#positive),The pizza is the best if you like thin crusted pizza.
,(anecdotes/miscellaneous#positive),My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
,(anecdotes/miscellaneous#neutral),"He can't help, they're bought up so fast."
,(ambience#negative),"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
,(anecdotes/miscellaneous#neutral),"i have eaten here a handful of times, for no reason besides sheer convenience."
,(service#positive),Obviously run by folks who know a pie.
,(anecdotes/miscellaneous#negative),We were very disappointed.
,(anecdotes/miscellaneous#positive)(price#positive),IT IS DEFINITELY SPECIAL AND AFFORDABLE.
,(anecdotes/miscellaneous#positive),I really liked this place.
,(anecdotes/miscellaneous#positive),I will be going back very soon.
(interior decoration#positive)(chefs#negative),(ambience#positive)(food#negative),"All the money went into the interior decoration, none of it went to the chefs."
(seats#negative),(ambience#negative),The seats are uncomfortable if you are sitting against the wall on wooden benches.
(seltzer with lime#neutral),(food#neutral),"I asked for seltzer with lime, no ice."
,(price#positive),It was pretty inexpensive too.
,(anecdotes/miscellaneous#negative),Will not be back.
(pickles#positive)(selection of meats and seafoods#positive),(food#positive),"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
(dishes#neutral)(eat family style#positive),(food#neutral),My suggestion is to eat family style because you'll want to try the other dishes.
(vibe#positive)(owner#positive)(service#positive),(service#positive)(ambience#positive),"Best of all is the warm vibe, the owner is super friendly and service is fast."
,(price#negative),This isn't a value joint.
(delivery#negative),(anecdotes/miscellaneous#positive)(service#negative),Faan's got a great concept but a little rough on the delivery.
(food#positive)(atmosphere#positive)(service#positive),(food#positive)(service#positive)(ambience#positive),"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
(food#positive)(prices#positive),(food#positive)(price#positive),"Great food at REASONABLE prices, makes for an evening that can't be beat!"
,(anecdotes/miscellaneous#positive),Look foward to trying the Ruben upon returning.
,(anecdotes/miscellaneous#neutral),The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
,(anecdotes/miscellaneous#neutral),We usually go to the Chart House to celebrate a birthday or anniversary.
(interior decor#positive)(prices#positive),(ambience#positive)(price#positive),this little place has a cute interior decor and affordable city prices.
,(anecdotes/miscellaneous#positive),You'll adore it.
(wine#positive),(price#positive),Two words: Free wine.
(price#positive)(service#negative),(service#negative)(price#positive),The price is reasonable although the service is poor.
(quantity#positive),(food#positive),"The quantity is also very good, you will come out satisfied."
,(anecdotes/miscellaneous#negative),I have been to Roth's twice and both times were very disappointing.
,(anecdotes/miscellaneous#positive),Worth visiting the 1st Ave spot because it is the original store.
(sushi#neutral)(sushi bar#neutral),(anecdotes/miscellaneous#neutral),"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
,(ambience#positive),"Raga's is a romantic, cozy restaurant."
(fried rice#positive),(food#positive),The fried rice is amazing here.
(mussels#positive)(puff pastry goat cheese#positive)(salad with a delicious dressing#positive)(hanger steak au poivre#positive)(courses#neutral),(food#positive),"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
(indian food#positive),(food#positive),it's a perfect place to have a amanzing indian food.
(service#positive)(place#positive),(service#positive)(ambience#positive),The place is so cool and the service is prompt and curtious.
(broth with noodles#positive),(food#positive),At the end you're left with a mild broth with noodles that you can slurp out of a cup.
(meal#positive)(money#positive),(price#positive)(food#positive),I just wonder how you can have such a delicious meal for such little money.
(food#conflict),(food#conflict),The food was delicious but do not come here on a empty stomach.
(wine list#positive),(food#positive),The wine list is excellent.
,(food#positive),so garantuan that you can't fit them in a toaster.
(Thai food#positive),(food#positive),"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
(glass of wine#neutral),(service#positive),They wouldnt even let me finish my glass of wine before offering another.
,(anecdotes/miscellaneous#positive),I highly recommend the Sophia pizza.
(specials#neutral),(service#negative),"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
(lunch#neutral)(dinner#neutral)(dine#positive),(anecdotes/miscellaneous#positive),This is a consistently great place to dine for lunch or dinner.
(atmosphere#positive)(service#positive)(desert#positive),(food#positive)(service#positive)(ambience#positive),"Nice atmosphere, the service was very pleasant and the desert was good."
,(anecdotes/miscellaneous#positive),All the people that I bring there go back on their own and bring THEIR friends!
(bar#positive)(table#neutral)(dinner#neutral),(anecdotes/miscellaneous#positive),After really enjoying ourselves at the bar we sat down at a table and had dinner.
(service#positive)(food#positive)(atmosphere#positive)(environment#positive),(food#positive)(service#positive)(ambience#positive),"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
,(anecdotes/miscellaneous#negative),Not what I wanted to hear.
(lasagnette appetizer#positive),(food#positive),Try the lasagnette appetizer.
,(price#negative)(anecdotes/miscellaneous#positive),"Pricey, but worth a try, at least once."
,(anecdotes/miscellaneous#negative),"I've been there a few times, and I usually end up sitting next to some pretty odd people."
(beer selection#positive),(food#positive),I liked the beer selection!
(food#positive)(menu#positive)(service#positive)(setting#positive),(food#positive)(service#positive)(ambience#positive),"Great food, good size menu, great service and an unpretensious setting."
(dinner#positive)(dining#positive),(anecdotes/miscellaneous#conflict),Go here for a romantic dinner but not for an all out wow dining experience.
,(anecdotes/miscellaneous#positive),Can't wait to go back.
(Dosa#neutral),(anecdotes/miscellaneous#neutral),I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
(Wine list selection#positive)(wine-by-the-glass#positive),(food#positive),Wine list selection is good and wine-by-the-glass was generously filled to the top.
(menu#positive),(food#positive),"With the great variety on the menu , I eat here often and never get bored ."
(menu#negative)(entrees#negative),(food#negative),The menu is very limited - i think we counted 4 or 5 entrees.
,(anecdotes/miscellaneous#positive),"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been."
(menu#negative)(dishes#positive),(food#conflict),The menu is limited but almost all of the dishes are excellent.
(sake martini#negative),(food#negative),Not too crazy about their sake martini.
(bagels#positive)(spreads#positive),(food#positive)(anecdotes/miscellaneous#positive),"Great bagels, spreads and a good place to hang out in."
(service#conflict),(service#conflict),"The service varys from day to day- sometimes they're very nice, and sometimes not."
,(ambience#positive),"whoever the jazz duo was, they were on POINT."
(table#neutral),(service#positive),One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
,(price#positive),This place is a great bargain.
,(anecdotes/miscellaneous#positive),We happened upon this place purely by accident and were pleased with the results.
(food#positive),(food#positive)(anecdotes/miscellaneous#negative),"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
,(anecdotes/miscellaneous#positive),Deff recimmend Bukhara they also have opened two new locations guess ill try them out.
(meal#positive),(food#positive),We always have a delicious meal and always leave feeling satisfied.
(ingredients#neutral)(chopsticks#neutral),(food#neutral),"Dip the ingredients in with your chopsticks, swirl them around, and eat."
(garden terrace#positive),(ambience#positive),First went here to enjoy their garden terrace.
,(food#conflict),"My husbands was perfect, my was well done and dry."
,(service#positive),"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer."
(pizza#positive),(food#positive),The pizza was pretty good and huge.
,(anecdotes/miscellaneous#positive),Sapphire is the only Indian restaurant I go to when I'm in NYC.
(cuisine#neutral),(food#neutral),"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
,(anecdotes/miscellaneous#positive),I heartily recommend.
,(anecdotes/miscellaneous#positive),Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.
(atmosphere#positive),(ambience#positive),I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
(service#positive)(crowded#negative),(service#positive)(ambience#negative),They are often crowded on the weekends but they are efficient and accurate with their service.
(dish#negative),(food#negative),All my co-workers were amazed at how small the dish was.
(atmosphere#positive)(service#positive)(food#positive),(food#positive)(service#positive)(ambience#positive),"The atmosphere is unheralded, the service impecible, and the food magnificant."
(grilled branzino#negative),(food#negative),"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
(wait staff#positive)(food#positive),(food#positive)(service#positive),"The wait staff is friendly, and the food has gotten better and better!"
,(anecdotes/miscellaneous#positive),"This place, which is only a few months old, is perhaps Queens' biggest secret!"
(vibe#positive)(French food#positive)(packed#negative),(food#positive)(ambience#conflict),"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
,(anecdotes/miscellaneous#positive),This place is so much fun.
,(anecdotes/miscellaneous#positive),I was glad I did.
(pizza#positive)(place#positive),(food#positive)(ambience#positive),Right off the L in Brooklyn this is a nice cozy place with good pizza.
,(service#negative),I've never been treated so rudely.
,(anecdotes/miscellaneous#positive),I'll be back soon.
(pre-theater menu#positive),(food#positive),Le Pere Pinard has a $15 pre-theater menu that is outstanding.
,(anecdotes/miscellaneous#positive),Went inside and I started to get excited.
(delivery#negative)(order#negative),(service#negative),I also ordered for delivery and the restaurant forgot half the order.
(server#negative)(meal#neutral),(service#negative),Our server checked on us maybe twice during the entire meal.
,(anecdotes/miscellaneous#positive),"However, it is jus too good to not praise it."
,(anecdotes/miscellaneous#positive),We have been to Montparnasse many times and return often for good reason.
(scents#negative),(anecdotes/miscellaneous#negative),The strong scents coming from the left and right of me negatively affected my taste buds.
(lobster sandwich#positive),(food#positive),We had the lobster sandwich and it was FANTASTIC.
,(anecdotes/miscellaneous#positive),It's somewhere you can eat and be happy.
,(anecdotes/miscellaneous#positive),"If you wrote a bad review, it's because you don't understand what Rao's is all about."
(check#negative),(service#negative),"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
,(anecdotes/miscellaneous#positive),but overall i give it a 10
(Spider Roll#conflict)(price#positive)(shell crab#positive),(food#positive)(price#positive),"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
(Deep Fried Skewers#positive),(food#positive),Deep Fried Skewers are good and still rare to find in NYC.
(reservations#neutral)(hostess#negative),(service#negative),"I have tried to make reservations, but both times, the hostess didn't have my name."
(rice dishes#positive)(congee (rice porridge)#positive),(food#positive),I also recommend the rice dishes or the different varieties of congee (rice porridge).
