rasamalai,,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
thin crusted pizza,,The pizza is the best if you like thin crusted pizza.
sicilian,,The sicilian is my favorite it is moist not dry like most places but all their pizza is great!
surrounding,,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.
all you can eat deal,,The all you can eat deal is truly amazing here.
thai,,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.
duck noodles,,"The calamari comes with an incredible sauce, and the duck noodles are yummy as well."
FOOD PORTIONS,,THE FOOD PORTIONS ARE REALLY LARGE.
deliveries,,"Well, their deliveries take for ever and the food is usually cold."
delivery guys,,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.
Filet Mignon with garlic mash,,I had Filet Mignon with garlic mash.
panang duck,,"Order the panang duck, it's fantastic."
manager,,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.
selection,,The buffet had a nice selection.
measures of liquers,,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house..."
martinis,,I would definitely go back -- if only for some of those exotic martinis on the blackboard.
exotic food,,The exotic food is beautifully presented and is a delight in delicious combinations.
dish,,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
Delivery service,,Delivery service is great too.
captain,,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
quality value,,Been going here since it opened have seen the quality value decrease considerably.
pad thai,,"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy."
roast duck,,"If you want some roast duck, pork or chicken on rice with ginger, try them out!"
wine list,,The wine list is excellent.
seved,,We were a group of 8 and well seved.
eggs benedict,,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
cannoli,,"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house."
styles of pizza,,This place has many different styles of pizza and they are all amazing.
drink refills,,We didn't get drink refills and she didn't even offer us the option of dessert.
