rasamalai,1,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,,
thin crusted pizza,1,The pizza is the best if you like thin crusted pizza.,,
sicilian,5,The sicilian is my favorite it is moist not dry like most places but all their pizza is great!,,
surrounding,4,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,,
all you can eat deal,1,The all you can eat deal is truly amazing here.,,
thai,1,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,,
duck noodles,1,"The calamari comes with an incredible sauce, and the duck noodles are yummy as well.",,
FOOD PORTIONS,1,THE FOOD PORTIONS ARE REALLY LARGE.,,
deliveries,2,"Well, their deliveries take for ever and the food is usually cold.",,
delivery guys,2,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.,,
Filet Mignon with garlic mash,1,I had Filet Mignon with garlic mash.,,
panang duck,1,"Order the panang duck, it's fantastic.",,
manager,2,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,,
selection,5,The buffet had a nice selection.,,
measures of liquers,1,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",,
martinis,1,I would definitely go back -- if only for some of those exotic martinis on the blackboard.,,
exotic food,1,The exotic food is beautifully presented and is a delight in delicious combinations.,,
dish,1,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,,
Delivery service,2,Delivery service is great too.,,
captain,2,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",,
quality value,3,Been going here since it opened have seen the quality value decrease considerably.,,
pad thai,1,"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",,
roast duck,1,"If you want some roast duck, pork or chicken on rice with ginger, try them out!",,
wine list,1,The wine list is excellent.,,
seved,5,We were a group of 8 and well seved.,,
eggs benedict,1,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",,
cannoli,1,"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.",,
styles of pizza,1,This place has many different styles of pizza and they are all amazing.,,
drink refills,2,We didn't get drink refills and she didn't even offer us the option of dessert.,,
technique,5,"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",,
turkey burger,1,"My turkey burger was not cooked at all, my friends salmon was completely raw.",,
sesame chicken,1,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",,
dumpling,1,"You can also special order any kind of dumpling,etc.",,
sashimi,1,"those rolls were big, but not good and sashimi wasn't fresh.",,
