(bread#positive),(food),The bread is top notch as well.
(delivery times#neutral),(service),I have to say they have one of the fastest delivery times in the city.
(Food#positive),(food),Food is always fresh and hot- ready to eat!
(coffee#positive),(food),Did I mention that the coffee is OUTSTANDING?
(sushi#positive)(place#positive),(food)(ambience),"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile."
(people#neutral),(anecdotes/miscellaneous),"I trust the people at Go Sushi, it never disappoints."
(Japanese food#positive)(Japanese food#neutral),(food),"Straight-forward, no surprises, very decent Japanese food."
(spicy tuna roll#neutral)(spicy tuna roll#neutral)(asian salad#positive),(food),"BEST spicy tuna roll, great asian salad."
(rose roll#positive)(menu#positive),(food),Try the rose roll (not on menu).
(food#positive),(food),"I love the drinks, esp lychee martini, and the food is also VERY good."
(Nicoise salad#neutral),(food),"In fact, this was not a Nicoise salad and was barely eatable."
(menu#positive),(food)(service),"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."
(food#neutral)(live entertainment#neutral),(food)(ambience),"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening."
(waiter#neutral)(waiter#neutral),(service),Our waiter was horrible; so rude and disinterested.
(sangria#negative),(food),The sangria's - watered down.
(menu#negative),(food),"menu - uneventful, small."
(sushi#positive)(portions#positive)(price#positive),(food)(price),Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.
(food#neutral)(food#neutral),(food)(service),Great food but the service was dreadful!
(portions of the food#negative),(food),The portions of the food that came out were mediocre.
(waitress's#neutral),(service),the two waitress's looked like they had been sucking on lemons.
(staff memebers#positive)(parking#neutral),(service)(anecdotes/miscellaneous),"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat."
(desserts#positive),(food)(anecdotes/miscellaneous),We enjoyed ourselves thoroughly and will be going back for the desserts ....
(Desserts#positive)(Tart of the Day#positive),(food),Desserts are almost incredible: my personal favorite is their Tart of the Day.
,(anecdotes/miscellaneous),I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.
,(anecdotes/miscellaneous),Maybe the secret was that we went on a Sunday night and everything was great.
(food#positive)(wine#positive),(food),"The food was extremely tasty, creatively presented and the wine excellent."
,(anecdotes/miscellaneous),WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.
,(anecdotes/miscellaneous),WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.
(LASAGNA#positive),(food),THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.
(array of sushi#neutral),(food),Harumi Sushi has the freshest and most delicious array of sushi in NYC.
(cuisine#positive)(owners#positive),(food)(service),"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff."
(indian food#neutral)(ambiance#positive),(food)(ambience),"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice."
(food#positive),(food),I definitely enjoyed the food as well.
,(anecdotes/miscellaneous),have always had a great time here.
(service#positive),(ambience)(service)(food),"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable."
,(anecdotes/miscellaneous),You will be very happy with the experience.
(food#positive)(decor#positive),(food)(ambience),"The food is surprisingly good, and the decor is nice."
(lunch#negative)(dinners#negative),(food),How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!
(steaks#neutral),(food),Two wasted steaks -- what a crime!
(staff#positive),(service),The staff should be a bit more friendly.
,(anecdotes/miscellaneous),I absolutely suggest this place.
(meatball parm#positive)(meatball parm#neutral),(food),I think the meatball parm is good.
(latin food#positive),(food),"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong."
(taglierini with truffles#positive),(food),Definitely try the taglierini with truffles - it was incredible.
(staff#positive),(service),"Also, the staff is very attentive and really personable."
,(anecdotes/miscellaneous),"Overall, this is a great new restaurant that has been consistently good every time I have been."
(gnocchi#neutral),(food),The gnocchi literally melts in your mouth!
(staff#positive)(food#positive)(portobello/gorgonzola/sausage appetizer#neutral),(service)(food),Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.
(Entrees#negative)(lasagna#negative)(fettuccine Alfredo#negative)(chicken parmigiana#negative),(food),"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana."
(food#positive)(teriyaki#positive),(food),"The food is good, the teriyaki I recommend."
(Meal#positive),(food)(price),Meal was very expensive for what you get.
(Peanut Butter Sorbet#neutral)(pizza with soy cheese#neutral),(food),Try the Peanut Butter Sorbet and the pizza with soy cheese!
(food#neutral)(price#positive),(food)(price),"Good food at the right price, what more can you ask for."
,(anecdotes/miscellaneous),"We love it, and took buses and cabs to get there."
,(anecdotes/miscellaneous),"If you' re in New York, you do not want to miss this place."
(service#positive)(atmosphere#positive),(food)(service)(ambience),"The food is top notch, the service is attentive, and the atmosphere is great."
,(anecdotes/miscellaneous),"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me."
