(bread#positive),(food#positive),The bread is top notch as well.
(delivery times#neutral),(service#neutral),I have to say they have one of the fastest delivery times in the city.
(Food#positive),(food#positive),Food is always fresh and hot- ready to eat!
(coffee#positive),(food#positive),Did I mention that the coffee is OUTSTANDING?
(sushi#positive)(place#positive),(food#positive)(ambience#positive),"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile."
(people#neutral),(anecdotes/miscellaneous#neutral),"I trust the people at Go Sushi, it never disappoints."
(Japanese food#neutral)(Japanese food#positive),(food#positive)(food#neutral),"Straight-forward, no surprises, very decent Japanese food."
(spicy tuna roll#neutral)(asian salad#positive),(anecdotes/miscellaneous#positive)(food#neutral),"BEST spicy tuna roll, great asian salad."
(menu#positive)(rose roll#positive),(food#positive),Try the rose roll (not on menu).
(food#positive),(food#positive),"I love the drinks, esp lychee martini, and the food is also VERY good."
(Nicoise salad#neutral),(food#neutral),"In fact, this was not a Nicoise salad and was barely eatable."
(menu#positive),(food#positive)(service#positive),"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."
(live entertainment#neutral)(food#neutral),(ambience#neutral)(food#neutral),"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening."
(waiter#neutral),(service#neutral),Our waiter was horrible; so rude and disinterested.
(sangria#negative),(food#negative),The sangria's - watered down.
(menu#negative),(food#negative),"menu - uneventful, small."
(portions#positive)(price#positive)(sushi#positive),(price#positive)(food#positive),Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.
(food#neutral),(service#neutral)(food#neutral),Great food but the service was dreadful!
(portions of the food#negative),(food#negative),The portions of the food that came out were mediocre.
(waitress's#neutral),(service#neutral),the two waitress's looked like they had been sucking on lemons.
(staff memebers#positive)(parking#neutral),(anecdotes/miscellaneous#neutral)(anecdotes/miscellaneous#positive),"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat."
(desserts#positive),(anecdotes/miscellaneous#positive)(food#positive),We enjoyed ourselves thoroughly and will be going back for the desserts ....
(Desserts#positive)(Tart of the Day#positive),(food#positive),Desserts are almost incredible: my personal favorite is their Tart of the Day.
,(anecdotes/miscellaneous#positive),I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.
,(anecdotes/miscellaneous#positive),Maybe the secret was that we went on a Sunday night and everything was great.
(food#positive)(wine#positive),(food#positive),"The food was extremely tasty, creatively presented and the wine excellent."
,(anecdotes/miscellaneous#negatigve),WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.
,(anecdotes/miscellaneous#positive),WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.
(LASAGNA#positive),(food#positive),THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.
