(great size#amazing windows),It is a great size and amazing windows 8 included!
(does),Does everything I wanted this laptop to do.
(firewire#usb3#pc#usb3#mac os#windows),A veryimportant feature is Firewire 800 which in my experience works better then USB3 (in PC enabled with USB3)I was not originally sold on the MAC OS I felt it was inferior in many ways To Windows 7.
(design app),"It shouldn't happen like that, I don't have any design app open or anything."
,Never been happier using  computer.
(macbook pro),"I love this piece of equipment, It will be hard to go back to other type of laptop after using a MacBook Pro."
,This computer is not cheap and represent an achievement for me.
,Not as fast as I would have expect for an i5.
,"But until now, no complains at all."
(mac#dell),I bought this Mac in order to replace my old Dell laptop.
(new mac),The last new mac I bought was in 1998.
(unibody construction#apple),The unibody construction really does feel lot more solid than Apple's previous laptops.
,It's shiny and it's pretty.
(macbook pro#great product),The MacBook Pro is a great product which can meet the needs of the average consumer.
,"Great things come in small ""packages."
(word program),It is very fast and has everything that I need except for a word program.
(dvd#install software),Just beware no DVD slot so when I went to install software I had on CD I couldn't.
,I was told that it seems to be a multi - component failure.
(high performance),"It has a very high performance, just for what I needed for."
(set),Set up was easy.
,Its worth every Penny.
,and it fits in my briefcase with ease
,I have had a total of 5 different laptop from many different manufactures.
(xp#microsoft),"Unfortunately, it runs XP and Microsoft is dropping support next April."
(acer#system files),"Chatting with Acer support, I was advised the problem was corrupted operating system files."
,It wakes in less than a second when I open the lid.
,it is really expensive though.
,the only thing that bums me out about this purchase is they released a newer updated mbp seriously RIGHT after i bought this one.
(easy),Easy to set up and go!
(not),But I do NOT like Win8.
(hardware),It's not inexpensive but the Hardware performance is impressive for a computer this small.
,"Yeah, it's super expensive."
,Everything I wanted and everything I needed and the price was great!
(os),With the softwares supporting the use of other OS makes it much better.
(amazon),"I saved about $100 plus tax ordering on Amazon and since I have prime, it arrived overnight for just $3.99 more."
(cons#price),"CONS: Price is a bit ridiculous, kinda heavy."
(have),Have one myself and Love it!
,Be sure to have good air flow where ever you put it.
,It is better than my old acer laptop.
,"I switched to this because I wanted something different, even though I miss windows."
