(anecdotes/miscellaneous),"While their kitchen food is delicious, their Sushi is out of this world."
(food#ambience),"The atmosphere is attractive, but a little uncomfortable."
(food),"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing."
(food),Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.
(food),This place has the best pizza.
(service),"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me."
(food#anecdotes/miscellaneous),"but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection)."
(anecdotes/miscellaneous),I recomend the chicken milanese.
(anecdotes/miscellaneous),Cool atmosphere but such a let down.
(anecdotes/miscellaneous),Didn't seem like any effort was made to the display and quality of the food.
(anecdotes/miscellaneous),You'll see a lot of people eating there after church.
(anecdotes/miscellaneous),"Believe me, they live up to the name."
(food#anecdotes/miscellaneous),"menu - uneventful, small."
(ambience#food#anecdotes/miscellaneous),"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices."
(food),It is bland and nothing extrodinary.
(food#anecdotes/miscellaneous),A plus was the good mix of people in their twenties that provided for great eye-candy while I was there.
(service),The Management was less than accomodating.
(food),A nice find in the neighborhood.
(food#anecdotes/miscellaneous#service),But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.
(food),"The service is great, my soup always arrives nice and hot."
(food),"While it was large and a bit noisy, the drinks were fantastic, and the food was superb."
(food),Pizzas were excellent in addition to appetizers and main courses.
(food#anecdotes/miscellaneous),"The best dessert, a chocolate and peanut butter tart, isn't particularly Hawaiian, but it's a small world when it comes to sweets."
(food#service),"I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far."
(food),It's cute and simple and I loved it.
(food#anecdotes/miscellaneous#service),"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas."
(food#service),Another great thing about Glechik-everything is very cheap!
(anecdotes/miscellaneous),Curioni's Pizza has been around since the 1920's.
(anecdotes/miscellaneous),Having moved I truly miss this place.
(food#service),The place just isn't ready for prime time.
(food#anecdotes/miscellaneous#service),If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!
(anecdotes/miscellaneous),I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.
(anecdotes/miscellaneous),My friends and I stop here for pizza before hitting the Kips Bay movie theater.
(food),The staff greeted me warmly at the door and I was seated promptly and the food was excellent.
(ambience),The restaurant was quiet and intimate.
(food#anecdotes/miscellaneous),"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food."
(anecdotes/miscellaneous),i had a delicious shrimp creole.
(food),"To the owners; good job guys, this place is a keeper!"
(food#service),The staff was extremely friendly and pleasant.
(food),"If you're in the neighborhood, definitely stop by for a great meal."
(food),"Don't ever bother - the drinks were awful, but it was the people who work there that really made this the worst experience at dining."
(food),"Here's the thing, you're in the best city in the world for restaurants."
(anecdotes/miscellaneous),You will not be missing anything.
(anecdotes/miscellaneous),The quality of the meat was on par with your local grocery store.
(food),"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff."
(food),Stay with the roasted chickens and you'll be fine.
(price),"Great restaurant, and even greater food!"
(food),"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!"
(price),"However, it was worth the visit."
(food#anecdotes/miscellaneous),"Huge portions, great and attentive service, and pretty good prices."
(anecdotes/miscellaneous),Save room for deserts - they're to die for.
(food#anecdotes/miscellaneous#service),This place has the strangest menu and the restaurants tries too hard to make fancy food.
(anecdotes/miscellaneous),I usually get one the Vietnamese Beef Noodle Soup.
(anecdotes/miscellaneous),Favourites include: potato spinach gnocchi and the lamb.
(anecdotes/miscellaneous),"And as SOON as one person is done, she asked to pick up the plate immediately."
(food),"Even when the chef is not in the house, the food and service are right on target."
(anecdotes/miscellaneous),The $72 Delmonico steak had to be sent back because it was not cooked to order.
(anecdotes/miscellaneous),The decor is designed in a contemporary Japanese style restaurant.
(food#ambience#anecdotes/miscellaneous#service),"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong."
(anecdotes/miscellaneous),I ordered the Chicken Teriyaki and my husband got Garlic Shrimp.
(anecdotes/miscellaneous),This is definitely one of the places that I have continued to come back to over the years.
(service),A con was the slow bar service.
(anecdotes/miscellaneous),One caveat: Some of the curried casseroles can be a trifle harsh.
(food),The bread is top notch as well.
(food),This place was the worst.
(food),All I can say is they are fantastic.
(food),The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.
(food#service),"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way)."
(food#anecdotes/miscellaneous),The foie gras was sweet and luscious.
(food),"Frankly, the chinese food here is something I can make better at home."
(food#anecdotes/miscellaneous),"If you're looking to taste some great Indian food and want good service, definitely visit Curry Leaf."
(anecdotes/miscellaneous),"After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order."
(food),The sushi is reasonably priced and fresh.
(anecdotes/miscellaneous),I think this a a wonderful place.
(food),The service is excellent and always informative without an air.
(anecdotes/miscellaneous),I went to Kitchenette this weekend for brunch.
(anecdotes/miscellaneous),"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE."
(anecdotes/miscellaneous),We ordered a glass of wine and were finished eating and paying before the wine came.
(food#anecdotes/miscellaneous),The chicken and falafel platters were nondescript combinations with fresh leaf salad.
(food),"After reading the great reviews, I invited a die-hard downtown friend of mine to join me at TASTE."
(food),Service is usually pretty good.
(food#anecdotes/miscellaneous),"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."
(food#anecdotes/miscellaneous#service),Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.
(food#anecdotes/miscellaneous),"Good service, great food, good value, and never have to wait in line!"
(food#price#anecdotes/miscellaneous#service),"My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few."
(anecdotes/miscellaneous),the food - not worth the price.
(service),"There restaurant is very casual, but perfect for lunch, and their delivery service is always very fast."
(anecdotes/miscellaneous),15% gratuity automatically added to the bill.
(food#anecdotes/miscellaneous),"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile."
(food#anecdotes/miscellaneous),"The wine list is extensive, well priced and covers alot of regions."
(anecdotes/miscellaneous),"The food is wonderful, artfully done and simply delicious."
(food),My daughter and I left feeling satisfied (not stuffed) and it felt good to know we had a healthy lunch.
(food#anecdotes/miscellaneous),Whether one pizza place is better than another is often very subjective.
(food#anecdotes/miscellaneous),"Straight-forward, no surprises, very decent Japanese food."
(anecdotes/miscellaneous),It's the kind of place I like to support!
(food#anecdotes/miscellaneous),It gets crowded at lunchtime but there are lots of seats in back and everyone who works there is so nice.
(anecdotes/miscellaneous),My wife I lived on the west side and found this while visiting firends on the UES.
(food#service),"It was such a fantastic dining experience, that I returned again the same week."
(food),"Yum, the chicken is great here."
(food),it is a hidden delight complete with a quaint bar and good food.
(food),The staff members are extremely friendly and even replaced my drink once when I dropped it outside.
(anecdotes/miscellaneous),THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.
(food#anecdotes/miscellaneous#service),"Best Chinese on the Upper East, prompt delivery, good value."
(food#anecdotes/miscellaneous),i dont know what some people who rave about this hot dog are talking about.
(food),The help was extremely nice and did not rush us.
(service),You will be very happy with the experience.
(anecdotes/miscellaneous),"Since I cook for a living, I'm very fussy about the food I eat in restaurants."
(food#anecdotes/miscellaneous),"The chocolate raspberry cake is heavenly- not too sweet, but full of flavor."
(food),"The staff is arrogant, the prices are way high for Brooklyn."
(food),Siam Square is fairly new to the neighborhood and I think in time will gain the recognition it deserves.
(food),Bobb V's is a great place to take your Friends and Family!
(anecdotes/miscellaneous),Do yourself a favor and avoid this place at ALL COST!
(anecdotes/miscellaneous),I was highly disappointed by their service and food.
(service),I recently visited over this past summer after being away for a year.
(food),"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast."
(food#anecdotes/miscellaneous),"When the dish arrived it was blazing with green chillis, definitely not edible by a human."
(anecdotes/miscellaneous),Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.
(food#anecdotes/miscellaneous#service),"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made."
(food#anecdotes/miscellaneous),"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice."
(food#anecdotes/miscellaneous),"There are many french bistros in the midtown area, and I wholheartedly recommend this one."
(anecdotes/miscellaneous),personally i say save your money.
(anecdotes/miscellaneous),The whole experience was satisfying.
(anecdotes/miscellaneous#service),"The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal."
(food#anecdotes/miscellaneous),"If you are here as a pre-show meal, hop in a cab and take the extra 10 minutes to go to the uptown location."
(anecdotes/miscellaneous),It took about 2 1/2 hours to be served our 2 courses.
(food#anecdotes/miscellaneous),This is the best Italian restaurant in the city.
(anecdotes/miscellaneous),My friend told me about this restaurant for a year before he finally took me this weekend.
(food#anecdotes/miscellaneous),My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.
(anecdotes/miscellaneous#service),"I've eaten at all three locations and I always love, love the food, the service is always wonderful and the prices are really reasonable."
(anecdotes/miscellaneous),"in conclusion, THIS PLACE SUCKS!!!"
(food),"The food is great, I love their dumplings, cold sesame noodles, chicken and shrimp dishs."
(anecdotes/miscellaneous#service),The staff is 100% Italian and the food is as authentic as it gets.
(anecdotes/miscellaneous),"now called nikki sushi, sushi is OK."
(anecdotes/miscellaneous),Really Lovely dining experience in the midst of buzzing midtown area.
(food),I was starving and the small portions were driving me crazy!
(anecdotes/miscellaneous),In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.
(food),The fried calamari was even better!
(food#anecdotes/miscellaneous#service),"To be fair, the food still is good and the service is quick and attentative even though its usually very busy."
(anecdotes/miscellaneous#service),"if you're looking for authentic hong kong-style food, look no further."
(anecdotes/miscellaneous),"Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!"
(service),I have dined at Mammino several times now and each time it gets bettter.
(food#anecdotes/miscellaneous),the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw whilst dining.
(food#anecdotes/miscellaneous#service),The wait staff was very attentive and polite.
(food),Could have had better for 1/3 the price in Chinatown.
(anecdotes/miscellaneous),I recommend any of their salmon dishes......
(food#service),Be sure to accompany your food with one of their fresh juice concoctions.
(food),The food is very good and the service is great.
(food),Cuisine is billed as asian fusion - doesn't meet the bill.
(food),"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat."
(anecdotes/miscellaneous),"they really provide a relaxing, laid-back atmosphere."
(food#service),"several times and put up with the waiters' bad manners, knowing that their job isn't easy."
(service),The Deco and ambiance was really romantic.
(food#service),"The room is a little plain, but it's difficult to make such a small place exciting and I would not suggest that as a reason not to go."
(food#anecdotes/miscellaneous),"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable."
(food#service),"The service is really fast and friendly, and the value is great."
(food),The boutique selection of wines covers a wide variety without being imposeing.
(food#anecdotes/miscellaneous),Great food but the service was dreadful!
(anecdotes/miscellaneous#service),""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians."
(service),I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.
(food#anecdotes/miscellaneous#service),They have very quick service which is great when you don't have much time.
(anecdotes/miscellaneous),We'd walked by it dozens of times and finally settled on a Monday night.
(anecdotes/miscellaneous#service),My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.
(food),My chicken was completely dried out and on the cold side and the sauce was not very flavorful.
(anecdotes/miscellaneous),"I would not recommend MEET at all, it is a rip off all the way from the time to step in!"
(anecdotes/miscellaneous),The prices are not terrible.
(food#anecdotes/miscellaneous#service),"I recommend the black roasted codfish, it was the best dish of the evening."
(food#anecdotes/miscellaneous),"It has good music, nice tapas, an interesting selection of wines (primarily Spanish) and a lowkey hip neighborhood clientele."
(anecdotes/miscellaneous),Atmosphere is a bore.
(food#anecdotes/miscellaneous),"Good food at the right price, what more can you ask for."
(food),The falafal was rather over cooked and dried but the chicken was fine.
(food#anecdotes/miscellaneous),"Not only was the waiter efficient and courteous, but also extremely helpful. "
(anecdotes/miscellaneous),Dessert was also to die for!
